year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",1429,1429
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",1763,2248
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",3747,4785
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Female-only",69,69
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",987,1481
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",1476,1476
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",511,563
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",830,830
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",9525,12466
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",21659,22403
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",1931,2184
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",3628,4834
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",6849,6849
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",2568,2874
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","SC","Female-only",3531,3531
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Engineering Physics (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",1221,1221
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",4174,4708
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",7679,8804
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",739,770
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",1664,2092
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",4715,4715
